timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779475711347,GiOzP,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/GiOzP,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779475719549,GiOzP,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/GiOzP,0,,local-env,,,,,,,,,,,
1779475720382,WDA5O,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/WDA5O,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779475728594,WDA5O,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/WDA5O,1,,local-env,,,,,,,,,,,
1779475729406,kKtiC,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/kKtiC,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779475741335,kKtiC,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/kKtiC,2,,local-env,,,,,,,,,,,
1779475741949,sqmp5,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/sqmp5,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779475754303,sqmp5,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/sqmp5,3,,local-env,,,,,,,,,,,
1779475754994,qTweR,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/qTweR,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779475766016,qTweR,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/qTweR,4,,local-env,,,,,,,,,,,
1779475766540,KzLms,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/KzLms,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779475776783,KzLms,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/KzLms,5,,local-env,,,,,,,,,,,
1779475777578,vF3z1,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/vF3z1,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779475784607,vF3z1,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/vF3z1,6,,local-env,,,,,,,,,,,
1779475785613,sSj4K,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/sSj4K,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779475793802,sSj4K,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/sSj4K,7,,local-env,,,,,,,,,,,
1779475794652,Z3Cr6,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/Z3Cr6,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779475802123,Z3Cr6,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/Z3Cr6,8,,local-env,,,,,,,,,,,
1779475802686,aUqVO,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/aUqVO,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779475809944,aUqVO,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/aUqVO,9,,local-env,,,,,,,,,,,
1779475810715,xMZ2Z,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/xMZ2Z,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779475817297,xMZ2Z,SUCCEEDED,,,,/home/meliani/nni-experiments/fag3rsqu/environments/local-env/trials/xMZ2Z,10,,local-env,,,,,,,,,,,
