timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779476295051,z851y,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/z851y,0,,local-env,GRU,128,1,0.1,relu,1.3136765810847124e-05,23,64,5,2,4
1779476302027,z851y,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/z851y,0,,local-env,,,,,,,,,,,
1779476302583,wXgMv,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/wXgMv,1,,local-env,GRU,64,4,0.3,tanh,0.000882829271767183,16,32,10,3,4
1779476320127,wXgMv,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/wXgMv,1,,local-env,,,,,,,,,,,
1779476321129,XCgIx,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/XCgIx,2,,local-env,GRU,128,1,0.3,relu,0.002002656740629705,9,16,5,5,4
1779476329459,XCgIx,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/XCgIx,2,,local-env,,,,,,,,,,,
1779476330155,qRjuK,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/qRjuK,3,,local-env,GRU,256,3,0,tanh,0.0004440271330935352,9,128,10,7,2
1779476350847,qRjuK,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/qRjuK,3,,local-env,,,,,,,,,,,
1779476351724,rBIyK,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/rBIyK,4,,local-env,Transformer,128,2,0.1,relu,0.00014663830441417186,8,128,15,2,8
1779476372298,rBIyK,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/rBIyK,4,,local-env,,,,,,,,,,,
1779476373299,osXzl,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/osXzl,5,,local-env,Transformer,128,4,0.1,relu,0.00011906172266400663,18,128,15,7,2
1779476390247,osXzl,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/osXzl,5,,local-env,,,,,,,,,,,
1779476390864,f1wno,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/f1wno,6,,local-env,GRU,16,2,0.3,tanh,0.004788829408888168,24,32,10,3,4
1779476402794,f1wno,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/f1wno,6,,local-env,,,,,,,,,,,
1779476403403,dQ5NY,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/dQ5NY,7,,local-env,GRU,64,3,0.3,tanh,0.0001394320258352539,24,32,10,2,4
1779476417143,dQ5NY,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/dQ5NY,7,,local-env,,,,,,,,,,,
1779476417940,rkoJx,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/rkoJx,8,,local-env,GRU,16,3,0.3,tanh,0.00019348010117574413,9,128,10,7,2
1779476429649,rkoJx,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/rkoJx,8,,local-env,,,,,,,,,,,
1779476430478,iuIl1,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/iuIl1,9,,local-env,GRU,32,1,0.1,tanh,0.00011266239611432197,8,128,10,2,2
1779476443849,iuIl1,SUCCEEDED,,,,/home/meliani/nni-experiments/kjn31e5w/environments/local-env/trials/iuIl1,9,,local-env,,,,,,,,,,,
