timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779469675640,ayoAx,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/ayoAx,0,,local-env,LSTM,64,3,0,elu,0.0002512440372562486,9,64,5,2,4
1779469702561,ayoAx,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/ayoAx,0,,local-env,,,,,,,,,,,
1779469703206,WffWO,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/WffWO,1,,local-env,Transformer,128,3,0.2,sigmoid,0.0001350747627583302,5,32,10,7,4
1779469719028,WffWO,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/WffWO,1,,local-env,,,,,,,,,,,
1779469719748,X8WNr,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/X8WNr,2,,local-env,CNN,32,3,0,sigmoid,0.0006205925456329107,2,128,5,7,8
1779469725794,X8WNr,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/X8WNr,2,,local-env,,,,,,,,,,,
1779469726781,IvCZm,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/IvCZm,3,,local-env,LSTM,128,4,0.2,sigmoid,0.0001589064121530638,14,128,15,2,4
1779469750699,IvCZm,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/IvCZm,3,,local-env,,,,,,,,,,,
1779469751350,JPYAv,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/JPYAv,4,,local-env,LSTM,16,1,0.2,sigmoid,0.0006291097967852714,21,64,15,5,4
1779469771481,JPYAv,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/JPYAv,4,,local-env,,,,,,,,,,,
1779469772417,KkImh,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/KkImh,5,,local-env,LSTM,256,4,0.5,sigmoid,9.444210578630123e-05,14,32,5,2,8
1779469803378,KkImh,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/KkImh,5,,local-env,,,,,,,,,,,
1779469804006,FnEcZ,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/FnEcZ,6,,local-env,LSTM,16,4,0,sigmoid,7.773447122852656e-05,8,64,15,5,4
1779469825914,FnEcZ,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/FnEcZ,6,,local-env,,,,,,,,,,,
1779469826561,CY98D,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/CY98D,7,,local-env,LSTM,64,1,0.2,relu,0.0024740677937369637,24,64,20,2,8
1779469840970,CY98D,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/CY98D,7,,local-env,,,,,,,,,,,
1779469841625,aq24N,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/aq24N,8,,local-env,CNN,128,3,0.1,elu,0.00024210587057791756,9,128,20,7,8
1779469861935,aq24N,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/aq24N,8,,local-env,,,,,,,,,,,
1779469862695,l75EO,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/l75EO,9,,local-env,GRU,16,3,0.2,relu,0.0037475016872915903,24,32,20,2,8
1779469892680,l75EO,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/l75EO,9,,local-env,,,,,,,,,,,
1779469893274,sNSui,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/sNSui,10,,local-env,LSTM,16,1,0.2,sigmoid,0.00020030073243952525,21,64,20,7,2
1779469906865,sNSui,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/sNSui,10,,local-env,,,,,,,,,,,
1779469907812,dd0ke,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/dd0ke,11,,local-env,LSTM,64,3,0.1,relu,0.0006523287610571163,24,64,20,2,4
1779469928441,dd0ke,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/dd0ke,11,,local-env,,,,,,,,,,,
1779469929364,FAcBd,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/FAcBd,12,,local-env,TCN,64,1,0.2,elu,0.0005717195385992294,24,64,20,2,4
1779469939530,FAcBd,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/FAcBd,12,,local-env,,,,,,,,,,,
1779469940431,wSQxk,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/wSQxk,13,,local-env,Transformer,32,2,0.1,elu,0.00035235291639711645,24,64,20,2,4
1779469969469,wSQxk,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/wSQxk,13,,local-env,,,,,,,,,,,
1779469970013,owoWB,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/owoWB,14,,local-env,Transformer,16,1,0.2,relu,0.0071854208692610205,21,32,15,2,2
1779469986718,owoWB,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/owoWB,14,,local-env,,,,,,,,,,,
1779469987570,TX2TO,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/TX2TO,15,,local-env,TCN,16,1,0.1,tanh,0.00040018489662333655,8,64,20,2,2
1779469996918,TX2TO,SUCCEEDED,,,,/home/meliani/nni-experiments/zbrfv95x/environments/local-env/trials/TX2TO,15,,local-env,,,,,,,,,,,
