timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779474724616,BeHEw,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/BeHEw,0,,local-env,TCN,64,1,0.1,sigmoid,6.25180739955303e-05,2,128,10,7,2
1779474731678,BeHEw,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/BeHEw,0,,local-env,,,,,,,,,,,
1779474732656,F2sgP,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/F2sgP,1,,local-env,Transformer,16,3,0.2,relu,1.5550675930933382e-05,8,16,10,5,4
1779474742832,F2sgP,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/F2sgP,1,,local-env,,,,,,,,,,,
1779474743692,qjRqU,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/qjRqU,2,,local-env,Transformer,32,1,0.5,sigmoid,6.49638438063721e-05,2,128,10,7,2
1779474751429,qjRqU,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/qjRqU,2,,local-env,,,,,,,,,,,
1779474752227,PsenI,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/PsenI,3,,local-env,MLP,16,4,0.2,sigmoid,0.00015089932339995037,21,128,10,5,4
1779474758676,PsenI,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/PsenI,3,,local-env,,,,,,,,,,,
1779474759264,wk891,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/wk891,4,,local-env,Transformer,32,3,0.2,tanh,0.00107646692471179,20,32,15,2,2
1779474773268,wk891,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/wk891,4,,local-env,,,,,,,,,,,
1779474773815,zywzR,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/zywzR,5,,local-env,Transformer,16,2,0.5,elu,1.837879769887255e-05,12,16,10,7,8
1779474782915,zywzR,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/zywzR,5,,local-env,,,,,,,,,,,
1779474783852,ZGGdi,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/ZGGdi,6,,local-env,LSTM,32,3,0.2,relu,0.0004683514055478605,30,32,15,3,4
1779474797439,ZGGdi,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/ZGGdi,6,,local-env,,,,,,,,,,,
1779474798385,DXN6f,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/DXN6f,7,,local-env,GRU,32,1,0.2,sigmoid,0.00018497533832422344,25,32,5,3,4
1779474807956,DXN6f,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/DXN6f,7,,local-env,,,,,,,,,,,
1779474808919,W4ujM,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/W4ujM,8,,local-env,Transformer,128,1,0.2,relu,5.651860928762682e-05,23,128,15,5,4
1779474824377,W4ujM,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/W4ujM,8,,local-env,,,,,,,,,,,
1779474824969,f3Ne3,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/f3Ne3,9,,local-env,TCN,16,4,0.2,tanh,1.845708123944766e-05,11,32,15,7,2
1779474835974,f3Ne3,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/f3Ne3,9,,local-env,,,,,,,,,,,
1779474836505,Kk6Gy,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/Kk6Gy,10,,local-env,GRU,256,1,0.2,sigmoid,0.0005611295446367977,25,64,5,2,8
1779474844934,Kk6Gy,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/Kk6Gy,10,,local-env,,,,,,,,,,,
1779474845536,tzAa2,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/tzAa2,11,,local-env,GRU,64,1,0.2,relu,0.000128330437499355,25,64,5,3,8
1779474853413,tzAa2,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/tzAa2,11,,local-env,,,,,,,,,,,
1779474854062,qCk8e,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/qCk8e,12,,local-env,Transformer,256,3,0.2,tanh,0.0002848437251000207,17,32,5,7,4
1779474867250,qCk8e,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/qCk8e,12,,local-env,,,,,,,,,,,
1779474868113,c7FIv,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/c7FIv,13,,local-env,Transformer,32,3,0.2,elu,0.0005745388778933372,20,32,15,2,2
1779474882197,c7FIv,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/c7FIv,13,,local-env,,,,,,,,,,,
1779474883169,JRgEY,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/JRgEY,14,,local-env,GRU,16,1,0.5,elu,0.00027785993491659194,16,64,5,2,8
1779474891858,JRgEY,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/JRgEY,14,,local-env,,,,,,,,,,,
1779474892709,FcgAC,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/FcgAC,15,,local-env,TCN,32,2,0.2,sigmoid,0.000374685835281637,25,128,5,3,4
1779474899852,FcgAC,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/FcgAC,15,,local-env,,,,,,,,,,,
1779474900748,pWAYz,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/pWAYz,16,,local-env,GRU,256,1,0.5,tanh,0.00033472917217741813,25,64,20,2,8
1779474923251,pWAYz,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/pWAYz,16,,local-env,,,,,,,,,,,
1779474923793,wI3k7,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/wI3k7,17,,local-env,GRU,256,3,0.2,elu,0.0002121978803464072,7,128,5,3,4
1779474942701,wI3k7,SUCCEEDED,,,,/home/meliani/nni-experiments/njg9hc5d/environments/local-env/trials/wI3k7,17,,local-env,,,,,,,,,,,
