timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779480462431,JBvXI,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/JBvXI,0,,local-env,LSTM,64,1,0,relu,1.8109215166948205e-05,4,64,10,2,2
1779480474378,JBvXI,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/JBvXI,0,,local-env,,,,,,,,,,,
1779480474982,MqX3w,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/MqX3w,1,,local-env,TCN,64,1,0.1,elu,9.304749830716999e-05,24,64,5,2,4
1779480482892,MqX3w,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/MqX3w,1,,local-env,,,,,,,,,,,
1779480483519,a6xLG,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/a6xLG,2,,local-env,CNN,16,4,0.3,sigmoid,0.00041104455080359344,21,16,20,3,8
1779480495893,a6xLG,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/a6xLG,2,,local-env,,,,,,,,,,,
1779480496556,wbFnp,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/wbFnp,3,,local-env,MLP,128,1,0,elu,0.001499465557554731,18,32,15,7,4
1779480508850,wbFnp,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/wbFnp,3,,local-env,,,,,,,,,,,
1779480509597,wR0ZV,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/wR0ZV,4,,local-env,RNN,128,2,0.1,elu,4.5287771166681784e-05,30,16,20,2,2
1779480532795,wR0ZV,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/wR0ZV,4,,local-env,,,,,,,,,,,
1779480533651,vEPZy,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/vEPZy,5,,local-env,RNN,256,4,0,tanh,0.0001286809251403448,13,16,10,5,8
1779480550584,vEPZy,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/vEPZy,5,,local-env,,,,,,,,,,,
1779480551198,kzXWY,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/kzXWY,6,,local-env,GRU,256,1,0.2,tanh,0.0004072619238051128,27,64,10,5,4
1779480563429,kzXWY,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/kzXWY,6,,local-env,,,,,,,,,,,
1779480564232,w3okk,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/w3okk,7,,local-env,GRU,64,3,0.2,sigmoid,0.0022854324143170976,21,64,20,3,4
1779480582146,w3okk,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/w3okk,7,,local-env,,,,,,,,,,,
1779480582778,mx62l,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/mx62l,8,,local-env,Transformer,128,2,0.1,tanh,0.002292817401866593,23,128,10,2,4
1779480600813,mx62l,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/mx62l,8,,local-env,,,,,,,,,,,
1779480601329,yW3cL,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/yW3cL,9,,local-env,CNN,64,4,0,tanh,1.847134697942427e-05,5,64,15,2,2
1779480614386,yW3cL,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/yW3cL,9,,local-env,,,,,,,,,,,
1779480615386,OhAgz,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/OhAgz,10,,local-env,RNN,64,4,0.1,sigmoid,3.5849159725810684e-05,20,128,20,5,8
1779480630419,OhAgz,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/OhAgz,10,,local-env,,,,,,,,,,,
1779480630936,YKKti,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/YKKti,11,,local-env,Transformer,32,2,0.2,tanh,0.00013188926766956468,30,64,10,5,4
1779480643292,YKKti,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/YKKti,11,,local-env,,,,,,,,,,,
1779480643965,m9WwI,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/m9WwI,12,,local-env,LSTM,128,4,0.5,tanh,2.7620569148597226e-05,24,16,10,2,8
1779480688975,m9WwI,SUCCEEDED,,,,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/m9WwI,12,,local-env,,,,,,,,,,,
1779480689559,tKA27,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/185l6kwe/environments/local-env/trials/tKA27,13,,local-env,CNN,32,2,0.2,relu,0.00135445500776049,19,64,10,3,4
