timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779477123328,uGoi5,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/uGoi5,0,,local-env,GRU,256,2,0.5,sigmoid,0.0001607733640625961,5,32,20,3,8
1779477141745,uGoi5,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/uGoi5,0,,local-env,,,,,,,,,,,
1779477142385,FZw2z,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/FZw2z,1,,local-env,TCN,64,4,0.5,sigmoid,1.2128042193973716e-05,25,128,15,3,4
1779477156651,FZw2z,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/FZw2z,1,,local-env,,,,,,,,,,,
1779477157446,iqXZx,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/iqXZx,2,,local-env,TCN,256,1,0,tanh,0.00017095190414375552,24,16,5,2,8
1779477168454,iqXZx,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/iqXZx,2,,local-env,,,,,,,,,,,
1779477169009,K1GyG,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/K1GyG,3,,local-env,RNN,256,4,0.5,relu,0.005557283033804382,15,128,15,3,8
1779477200833,K1GyG,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/K1GyG,3,,local-env,,,,,,,,,,,
1779477201625,p71qV,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/p71qV,4,,local-env,RNN,64,2,0.1,tanh,0.00816743010233718,19,64,15,5,2
1779477211391,p71qV,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/p71qV,4,,local-env,,,,,,,,,,,
1779477212162,tfBYF,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/tfBYF,5,,local-env,RNN,32,4,0,elu,0.000389198226411249,7,16,15,2,4
1779477224066,tfBYF,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/tfBYF,5,,local-env,,,,,,,,,,,
1779477224694,eQU9T,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/eQU9T,6,,local-env,TCN,64,1,0.1,elu,0.00044564889499803514,11,64,15,5,8
1779477232369,eQU9T,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/eQU9T,6,,local-env,,,,,,,,,,,
1779477233222,mX1lY,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/mX1lY,7,,local-env,CNN,128,3,0.3,sigmoid,1.1844980658990767e-05,17,128,20,2,8
1779477243382,mX1lY,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/mX1lY,7,,local-env,,,,,,,,,,,
1779477244267,h7u8D,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/h7u8D,8,,local-env,TCN,256,3,0.5,elu,0.000282960730360678,7,16,10,3,2
1779477253908,h7u8D,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/h7u8D,8,,local-env,,,,,,,,,,,
1779477254802,HCe2s,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/HCe2s,9,,local-env,CNN,16,4,0,elu,0.000811278158156149,15,32,5,5,4
1779477261805,HCe2s,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/HCe2s,9,,local-env,,,,,,,,,,,
1779477262340,BJGeH,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/BJGeH,10,,local-env,RNN,16,3,0.3,elu,0.0003449531314111926,15,128,5,3,4
1779477277871,BJGeH,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/BJGeH,10,,local-env,,,,,,,,,,,
1779477278405,quRBp,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/quRBp,11,,local-env,LSTM,32,3,0.1,sigmoid,1.0294263282044071e-05,25,32,15,7,2
1779477302517,quRBp,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/quRBp,11,,local-env,,,,,,,,,,,
1779477303449,Oso4h,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/Oso4h,12,,local-env,CNN,64,3,0.2,elu,0.0005387990294413555,13,128,10,7,8
1779477310830,Oso4h,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/Oso4h,12,,local-env,,,,,,,,,,,
1779477311477,bnQXU,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/bnQXU,13,,local-env,CNN,256,1,0.5,tanh,0.001571337521350472,15,16,10,3,2
1779477317660,bnQXU,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/bnQXU,13,,local-env,,,,,,,,,,,
1779477318503,lpA3P,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/lpA3P,14,,local-env,TCN,128,4,0.3,elu,9.7901323844016e-05,20,32,10,5,2
1779477326441,lpA3P,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/lpA3P,14,,local-env,,,,,,,,,,,
1779477327034,hWdZI,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/hWdZI,15,,local-env,TCN,256,2,0.2,elu,1.1791552645372942e-05,23,16,15,2,2
1779477336617,hWdZI,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/hWdZI,15,,local-env,,,,,,,,,,,
1779477337564,yTEVT,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/yTEVT,16,,local-env,MLP,128,3,0.5,tanh,1.671769826397644e-05,12,64,5,3,8
1779477344043,yTEVT,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/yTEVT,16,,local-env,,,,,,,,,,,
1779477344597,xTct6,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/xTct6,17,,local-env,LSTM,128,1,0.3,sigmoid,0.004698837957388086,21,32,10,5,4
1779477355855,xTct6,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/xTct6,17,,local-env,,,,,,,,,,,
1779477356632,oDvab,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/oDvab,18,,local-env,RNN,16,3,0,relu,2.496781069176585e-05,24,32,5,5,8
1779477369415,oDvab,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/oDvab,18,,local-env,,,,,,,,,,,
1779477370177,RGgPI,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/RGgPI,19,,local-env,LSTM,32,3,0.1,relu,0.005427153580054485,9,16,20,3,4
1779477398173,RGgPI,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/RGgPI,19,,local-env,,,,,,,,,,,
1779477398743,RVAAx,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/RVAAx,20,,local-env,MLP,256,1,0.5,elu,8.290305410690249e-05,25,16,5,2,4
1779477404170,RVAAx,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/RVAAx,20,,local-env,,,,,,,,,,,
1779477404774,eECnD,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/eECnD,21,,local-env,LSTM,128,2,0.5,relu,0.002177818701995598,23,64,5,3,8
1779477415070,eECnD,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/eECnD,21,,local-env,,,,,,,,,,,
1779477415811,Wdqnf,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/Wdqnf,22,,local-env,LSTM,256,1,0.3,relu,0.001347563413834148,27,64,15,5,8
1779477430152,Wdqnf,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/Wdqnf,22,,local-env,,,,,,,,,,,
1779477430846,bi1ao,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/bi1ao,23,,local-env,GRU,128,1,0.5,tanh,0.009334786652171355,25,16,5,2,2
1779477440216,bi1ao,SUCCEEDED,,,,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/bi1ao,23,,local-env,,,,,,,,,,,
1779477440867,lCLVi,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/51dkbca0/environments/local-env/trials/lCLVi,24,,local-env,RNN,16,3,0.5,tanh,0.0026437661724970332,11,128,5,7,8
