timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779470632817,ZaAFx,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/ZaAFx,0,,local-env,MLP,32,2,0.5,tanh,5.2818406204665195e-05,26,32,5,2,8
1779470639083,ZaAFx,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/ZaAFx,0,,local-env,,,,,,,,,,,
1779470639875,hTthK,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/hTthK,1,,local-env,LSTM,32,4,0.1,elu,0.000471788218470145,16,32,20,7,8
1779470699122,hTthK,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/hTthK,1,,local-env,,,,,,,,,,,
1779470700069,NOaTo,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/NOaTo,2,,local-env,TCN,64,2,0.3,tanh,0.00011909951887649859,26,64,15,5,4
1779470708357,NOaTo,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/NOaTo,2,,local-env,,,,,,,,,,,
1779470709102,etO3F,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/etO3F,3,,local-env,TCN,32,2,0,tanh,0.0005533612251072557,11,128,5,7,4
1779470716164,etO3F,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/etO3F,3,,local-env,,,,,,,,,,,
1779470717141,ULhDE,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/ULhDE,4,,local-env,RNN,64,3,0.5,sigmoid,2.7713789240983058e-05,19,64,20,5,8
1779470730190,ULhDE,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/ULhDE,4,,local-env,,,,,,,,,,,
1779470731184,n7gMO,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/n7gMO,5,,local-env,CNN,64,1,0.3,elu,0.00628365538454282,5,16,20,5,2
1779470742437,n7gMO,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/n7gMO,5,,local-env,,,,,,,,,,,
1779470743222,pEh5s,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/pEh5s,6,,local-env,CNN,128,1,0.1,sigmoid,0.00037583489389992605,14,64,5,3,4
1779470750738,pEh5s,SUCCEEDED,,,,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/pEh5s,6,,local-env,,,,,,,,,,,
1779470751252,VQSob,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/xyepb76q/environments/local-env/trials/VQSob,7,,local-env,MLP,64,1,0.2,sigmoid,6.38420534316915e-05,2,128,20,2,8
