timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779470720227,g7WK3,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/g7WK3,0,,local-env,LSTM,256,3,0.1,elu,0.0010454354291517917,23,128,15,2,2
1779470745713,g7WK3,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/g7WK3,0,,local-env,,,,,,,,,,,
1779470746292,hVt35,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/hVt35,1,,local-env,MLP,32,1,0,elu,0.0012342128201023837,17,16,5,3,4
1779470753689,hVt35,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/hVt35,1,,local-env,,,,,,,,,,,
1779470754327,hqd3Z,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/hqd3Z,2,,local-env,TCN,256,4,0.1,elu,1.151853701143792e-05,10,64,10,7,4
1779470802745,hqd3Z,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/hqd3Z,2,,local-env,,,,,,,,,,,
1779470803540,mbZEY,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/mbZEY,3,,local-env,CNN,128,1,0.5,tanh,3.0529638132307573e-05,22,32,5,2,4
1779470810837,mbZEY,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/mbZEY,3,,local-env,,,,,,,,,,,
1779470811583,lEppm,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/lEppm,4,,local-env,RNN,16,1,0.1,relu,3.040644228628261e-05,3,64,10,5,2
1779470819214,lEppm,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/lEppm,4,,local-env,,,,,,,,,,,
1779470820114,GRLw4,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/GRLw4,5,,local-env,GRU,16,3,0.1,tanh,4.461349964160773e-05,12,64,10,2,8
1779470835691,GRLw4,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/GRLw4,5,,local-env,,,,,,,,,,,
1779470836654,ayhxB,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/ayhxB,6,,local-env,GRU,16,2,0.5,tanh,0.0008714953545989283,8,16,15,2,4
1779470851310,ayhxB,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/ayhxB,6,,local-env,,,,,,,,,,,
1779470852196,Uql6g,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/Uql6g,7,,local-env,MLP,32,3,0.2,elu,0.00012522830730552292,20,32,15,3,2
1779470901459,Uql6g,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/Uql6g,7,,local-env,,,,,,,,,,,
1779470902396,ewhLw,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/ewhLw,8,,local-env,TCN,128,3,0.2,sigmoid,0.00016424507037257686,26,16,10,7,8
1779470911359,ewhLw,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/ewhLw,8,,local-env,,,,,,,,,,,
1779470911923,OAkf6,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/OAkf6,9,,local-env,CNN,256,2,0.5,elu,2.3970035588184285e-05,2,128,20,5,2
1779470921131,OAkf6,SUCCEEDED,,,,/home/meliani/nni-experiments/6h1mgsdx/environments/local-env/trials/OAkf6,9,,local-env,,,,,,,,,,,
