timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779470546163,hGRU8,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/hGRU8,0,,local-env,MLP,128,1,0.1,tanh,2.310057293981956e-05,27,64,15,3,8
1779470555318,hGRU8,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/hGRU8,0,,local-env,,,,,,,,,,,
1779470556201,VpJBN,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/VpJBN,1,,local-env,LSTM,32,2,0.5,elu,0.0013004384627589133,11,64,15,7,4
1779470601661,VpJBN,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/VpJBN,1,,local-env,,,,,,,,,,,
1779470602398,ooRS5,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/ooRS5,2,,local-env,Transformer,64,1,0,sigmoid,0.003248166030829079,8,128,5,2,2
1779470611621,ooRS5,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/ooRS5,2,,local-env,,,,,,,,,,,
1779470612440,MPGEj,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/MPGEj,3,,local-env,MLP,32,4,0.2,sigmoid,0.0017014101856750795,13,64,15,3,8
1779470622553,MPGEj,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/MPGEj,3,,local-env,,,,,,,,,,,
1779470623472,OcBA4,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/OcBA4,4,,local-env,RNN,128,1,0.3,elu,5.42171515519675e-05,5,128,20,5,4
1779470634262,OcBA4,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/OcBA4,4,,local-env,,,,,,,,,,,
1779470635004,kw0PI,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/kw0PI,5,,local-env,LSTM,16,1,0,tanh,0.007915161914643214,9,64,15,3,2
1779470646953,kw0PI,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/kw0PI,5,,local-env,,,,,,,,,,,
1779470647542,e00zX,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/e00zX,6,,local-env,LSTM,256,4,0.5,sigmoid,0.0014845091219059217,2,128,10,7,4
1779470703395,e00zX,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/e00zX,6,,local-env,,,,,,,,,,,
1779470704217,Pv5Gs,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/Pv5Gs,7,,local-env,LSTM,32,4,0.3,elu,0.0001729450493550684,23,16,15,2,8
1779470729588,Pv5Gs,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/Pv5Gs,7,,local-env,,,,,,,,,,,
1779470730273,G2OfA,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/G2OfA,8,,local-env,LSTM,128,3,0.5,tanh,0.0004894919434450877,3,32,15,2,8
1779470748669,G2OfA,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/G2OfA,8,,local-env,,,,,,,,,,,
1779470749320,lpbcp,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/lpbcp,9,,local-env,RNN,32,4,0.1,relu,0.0002898297457618949,22,32,5,3,4
1779470797522,lpbcp,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/lpbcp,9,,local-env,,,,,,,,,,,
1779470798530,Z19Hl,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/Z19Hl,10,,local-env,CNN,16,2,0,elu,1.3870999663717071e-05,28,64,5,5,2
1779470805905,Z19Hl,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/Z19Hl,10,,local-env,,,,,,,,,,,
1779470806567,iT4Ix,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/iT4Ix,11,,local-env,LSTM,64,3,0,sigmoid,0.0022001569812034314,15,128,20,5,2
1779470826391,iT4Ix,SUCCEEDED,,,,/home/meliani/nni-experiments/htnybi26/environments/local-env/trials/iT4Ix,11,,local-env,,,,,,,,,,,
