timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779483233229,SWYAQ,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/SWYAQ,0,,local-env,CNN,16,2,0.3,elu,0.0002337393849444222,5,16,5,7,2
1779483239719,SWYAQ,SUCCEEDED,,,,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/SWYAQ,0,,local-env,,,,,,,,,,,
1779483240270,pNPZl,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/pNPZl,1,,local-env,TCN,256,3,0.5,tanh,0.007322696503153324,24,32,5,5,2
1779483249731,pNPZl,SUCCEEDED,,,,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/pNPZl,1,,local-env,,,,,,,,,,,
1779483250302,ZTAt8,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/ZTAt8,2,,local-env,TCN,16,2,0,sigmoid,0.0003608507347558877,30,32,15,7,4
1779483258654,ZTAt8,SUCCEEDED,,,,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/ZTAt8,2,,local-env,,,,,,,,,,,
1779483259329,xJOfx,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/xJOfx,3,,local-env,CNN,64,4,0.2,tanh,0.006194540772203232,16,32,15,3,8
1779483268057,xJOfx,SUCCEEDED,,,,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/xJOfx,3,,local-env,,,,,,,,,,,
1779483268853,Jp1dA,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/Jp1dA,4,,local-env,Transformer,32,4,0,relu,0.0005262309160357199,17,32,20,5,8
1779483291902,Jp1dA,SUCCEEDED,,,,/home/meliani/nni-experiments/hgblqvry/environments/local-env/trials/Jp1dA,4,,local-env,,,,,,,,,,,
