timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779471746108,g0XBh,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/g0XBh,0,,local-env,GRU,16,3,0,sigmoid,0.000925032514482689,16,32,5,5,4
1779471772303,g0XBh,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/g0XBh,0,,local-env,,,,,,,,,,,
1779471773267,L852N,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/L852N,1,,local-env,TCN,256,4,0.3,tanh,4.075123410157209e-05,13,32,10,5,4
1779471823333,L852N,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/L852N,1,,local-env,,,,,,,,,,,
1779471824019,GVXwo,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/GVXwo,2,,local-env,TCN,32,2,0.3,elu,0.0003109180402878182,21,16,10,5,4
1779471830742,GVXwo,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/GVXwo,2,,local-env,,,,,,,,,,,
1779471831547,MRSAC,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/MRSAC,3,,local-env,GRU,256,3,0.1,elu,0.008569018734898232,12,64,15,5,4
1779471847590,MRSAC,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/MRSAC,3,,local-env,,,,,,,,,,,
1779471848584,zjfKL,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/zjfKL,4,,local-env,RNN,32,1,0.2,tanh,0.004192667671201789,26,128,15,2,4
1779471856854,zjfKL,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/zjfKL,4,,local-env,,,,,,,,,,,
1779471857614,qz5CS,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/qz5CS,5,,local-env,TCN,64,3,0.5,tanh,1.1981700502350085e-05,5,64,5,2,2
1779471864368,qz5CS,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/qz5CS,5,,local-env,,,,,,,,,,,
1779471865153,RQ55C,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/RQ55C,6,,local-env,CNN,64,3,0.3,sigmoid,0.0015828095522993921,25,128,5,2,2
1779471871410,RQ55C,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/RQ55C,6,,local-env,,,,,,,,,,,
1779471872188,EwLiR,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/EwLiR,7,,local-env,GRU,128,1,0.5,tanh,0.0003702193805876019,7,32,20,7,2
1779471936223,EwLiR,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/EwLiR,7,,local-env,,,,,,,,,,,
1779471936867,FT1Ft,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/FT1Ft,8,,local-env,TCN,16,1,0.5,elu,0.00014241290441491768,21,64,20,3,8
1779471945814,FT1Ft,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/FT1Ft,8,,local-env,,,,,,,,,,,
1779471946405,vqo3Y,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/vqo3Y,9,,local-env,LSTM,128,2,0.2,sigmoid,0.00919736571865247,12,64,20,5,4
1779471959910,vqo3Y,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/vqo3Y,9,,local-env,,,,,,,,,,,
1779471960449,QL6aB,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/QL6aB,10,,local-env,TCN,16,2,0.3,tanh,0.008872621233195634,6,64,20,5,2
1779471970388,QL6aB,SUCCEEDED,,,,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/QL6aB,10,,local-env,,,,,,,,,,,
1779471970980,IKYGW,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/21ojuz8h/environments/local-env/trials/IKYGW,11,,local-env,CNN,128,2,0.1,elu,0.00010671362212455656,30,32,10,7,2
