timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779472337237,d7RGq,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/d7RGq,0,,local-env,Transformer,256,4,0.2,sigmoid,7.315652913013436e-05,21,64,15,3,2
1779472403728,d7RGq,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/d7RGq,0,,local-env,,,,,,,,,,,
1779472404563,WrFlw,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/WrFlw,1,,local-env,MLP,64,3,0.1,elu,0.0030072760743078157,4,128,20,3,2
1779472412975,WrFlw,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/WrFlw,1,,local-env,,,,,,,,,,,
1779472413611,SlFNb,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/SlFNb,2,,local-env,Transformer,16,2,0.2,tanh,0.001744440804451526,9,16,15,7,4
1779472424580,SlFNb,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/SlFNb,2,,local-env,,,,,,,,,,,
1779472425139,jdDNC,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/jdDNC,3,,local-env,Transformer,32,1,0.2,tanh,0.00010252856796987871,15,128,5,7,4
1779472432955,jdDNC,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/jdDNC,3,,local-env,,,,,,,,,,,
1779472433676,kAIQl,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/kAIQl,4,,local-env,MLP,64,2,0.2,sigmoid,0.00012476947743827636,4,16,15,3,2
1779472468091,kAIQl,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/kAIQl,4,,local-env,,,,,,,,,,,
1779472468833,AihPf,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/AihPf,5,,local-env,Transformer,128,4,0.5,tanh,2.9190806274509465e-05,15,64,15,3,2
1779472519215,AihPf,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/AihPf,5,,local-env,,,,,,,,,,,
1779472519967,Pznir,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/Pznir,6,,local-env,MLP,16,2,0.2,sigmoid,1.163553784614839e-05,20,16,15,7,4
1779472526681,Pznir,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/Pznir,6,,local-env,,,,,,,,,,,
1779472527512,jxjS0,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/jxjS0,7,,local-env,Transformer,64,2,0.3,tanh,0.0013526474695720434,10,16,10,7,8
1779472538743,jxjS0,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/jxjS0,7,,local-env,,,,,,,,,,,
1779472539546,Ez6ze,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/Ez6ze,8,,local-env,Transformer,16,1,0.5,tanh,0.00020663921920463583,18,64,5,2,4
1779472547247,Ez6ze,SUCCEEDED,,,,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/Ez6ze,8,,local-env,,,,,,,,,,,
1779472548083,Zpe3e,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/5ht93qsd/environments/local-env/trials/Zpe3e,9,,local-env,CNN,256,2,0.3,elu,0.005261923671802114,4,128,20,5,2
