timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779482366450,tGzVI,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/tGzVI,0,,local-env,LSTM,64,2,0,elu,1.8728595048907237e-05,12,32,5,2,2
1779482378639,tGzVI,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/tGzVI,0,,local-env,,,,,,,,,,,
1779482379491,kZmEm,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/kZmEm,1,,local-env,TCN,16,4,0.1,elu,0.000294751716744384,8,32,5,7,2
1779482389139,kZmEm,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/kZmEm,1,,local-env,,,,,,,,,,,
1779482390033,PTdHG,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/PTdHG,2,,local-env,Transformer,16,4,0.5,sigmoid,9.646091930096899e-05,19,16,10,3,2
1779482412461,PTdHG,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/PTdHG,2,,local-env,,,,,,,,,,,
1779482413092,XZnMF,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/XZnMF,3,,local-env,CNN,16,2,0.5,sigmoid,1.7192181531502803e-05,7,128,15,7,8
1779482421465,XZnMF,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/XZnMF,3,,local-env,,,,,,,,,,,
1779482422132,Og1i3,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/Og1i3,4,,local-env,TCN,256,4,0.2,relu,1.592226704464266e-05,15,64,5,7,4
1779482436871,Og1i3,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/Og1i3,4,,local-env,,,,,,,,,,,
1779482437675,Jn0CM,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/Jn0CM,5,,local-env,CNN,128,4,0,relu,0.00643385735672206,2,16,10,2,8
1779482446177,Jn0CM,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/Jn0CM,5,,local-env,,,,,,,,,,,
1779482446714,w3j3f,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/w3j3f,6,,local-env,TCN,64,2,0,elu,0.004289794246969053,8,128,10,7,2
1779482456268,w3j3f,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/w3j3f,6,,local-env,,,,,,,,,,,
1779482457260,B5DLS,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/B5DLS,7,,local-env,LSTM,16,2,0,tanh,4.09938663181322e-05,20,128,20,5,2
1779482485254,B5DLS,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/B5DLS,7,,local-env,,,,,,,,,,,
1779482485859,giCBk,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/giCBk,8,,local-env,CNN,16,1,0,elu,9.72750678303239e-05,2,64,5,3,2
1779482496227,giCBk,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/giCBk,8,,local-env,,,,,,,,,,,
1779482496912,SjpzA,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/SjpzA,9,,local-env,MLP,256,2,0.5,sigmoid,0.0006819870444507998,11,64,15,7,8
1779482503813,SjpzA,SUCCEEDED,,,,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/SjpzA,9,,local-env,,,,,,,,,,,
1779482504443,Gohg5,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/610rnhti/environments/local-env/trials/Gohg5,10,,local-env,GRU,16,3,0.1,elu,0.0012019441612946458,7,16,15,2,2
