timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779471253210,KBaf5,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/KBaf5,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779471299420,KBaf5,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/KBaf5,0,,local-env,,,,,,,,,,,
1779471299987,bBuPr,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/bBuPr,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779471309865,bBuPr,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/bBuPr,1,,local-env,,,,,,,,,,,
1779471310526,P62Fy,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/P62Fy,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779471320115,P62Fy,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/P62Fy,2,,local-env,,,,,,,,,,,
1779471321075,AZn1b,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/AZn1b,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779471329686,AZn1b,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/AZn1b,3,,local-env,,,,,,,,,,,
1779471330622,UP3xv,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/UP3xv,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779471340697,UP3xv,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/UP3xv,4,,local-env,,,,,,,,,,,
1779471341677,s5T7E,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/s5T7E,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779471397663,s5T7E,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/s5T7E,5,,local-env,,,,,,,,,,,
1779471398447,uU3ja,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/uU3ja,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779471411427,uU3ja,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/uU3ja,6,,local-env,,,,,,,,,,,
1779471412018,JOWqG,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/JOWqG,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779471421004,JOWqG,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/JOWqG,7,,local-env,,,,,,,,,,,
1779471421565,u2jH5,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/u2jH5,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779471431536,u2jH5,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/u2jH5,8,,local-env,,,,,,,,,,,
1779471432093,EUo1y,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/EUo1y,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779471442243,EUo1y,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/EUo1y,9,,local-env,,,,,,,,,,,
1779471443132,xTgdd,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/xTgdd,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779471474467,xTgdd,SUCCEEDED,,,,/home/meliani/nni-experiments/erbao8nq/environments/local-env/trials/xTgdd,10,,local-env,,,,,,,,,,,
