timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779484035292,UvFRG,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/UvFRG,0,,local-env,RNN,64,2,0.3,relu,7.257949636711645e-05,7,128,5,5,8
1779484043117,UvFRG,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/UvFRG,0,,local-env,,,,,,,,,,,
1779484043826,fSQ2j,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/fSQ2j,1,,local-env,TCN,64,3,0.1,tanh,4.7625555602173636e-05,26,16,15,3,2
1779484053929,fSQ2j,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/fSQ2j,1,,local-env,,,,,,,,,,,
1779484054864,OpLc1,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/OpLc1,2,,local-env,LSTM,64,1,0.1,sigmoid,1.8425437069897416e-05,24,64,5,7,8
1779484073138,OpLc1,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/OpLc1,2,,local-env,,,,,,,,,,,
1779484073937,pI4et,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/pI4et,3,,local-env,Transformer,128,3,0.2,tanh,5.262963502914079e-05,17,32,10,2,8
1779484102860,pI4et,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/pI4et,3,,local-env,,,,,,,,,,,
1779484103510,x9K0J,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/x9K0J,4,,local-env,RNN,16,4,0.1,elu,0.0027727233621017587,18,32,10,7,8
1779484123676,x9K0J,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/x9K0J,4,,local-env,,,,,,,,,,,
1779484124596,KJw1h,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/KJw1h,5,,local-env,MLP,64,3,0.2,sigmoid,1.2940306487594525e-05,29,128,15,5,4
1779484137538,KJw1h,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/KJw1h,5,,local-env,,,,,,,,,,,
1779484138165,TTzrQ,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/TTzrQ,6,,local-env,CNN,16,1,0.2,sigmoid,0.0011047792491129522,30,128,20,2,8
1779484157405,TTzrQ,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/TTzrQ,6,,local-env,,,,,,,,,,,
1779484158269,gVFlL,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/gVFlL,7,,local-env,GRU,16,2,0,tanh,8.7172447121607e-05,22,16,10,5,8
1779484180476,gVFlL,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/gVFlL,7,,local-env,,,,,,,,,,,
1779484181338,GnWtH,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/GnWtH,8,,local-env,LSTM,16,1,0,elu,0.002447860389915859,8,64,20,5,4
1779484194803,GnWtH,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/GnWtH,8,,local-env,,,,,,,,,,,
1779484195378,HIccl,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/HIccl,9,,local-env,Transformer,16,3,0.1,sigmoid,0.00040606390097331556,3,128,15,5,8
1779484212706,HIccl,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/HIccl,9,,local-env,,,,,,,,,,,
1779484213443,q8W7E,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/q8W7E,10,,local-env,MLP,32,3,0.2,elu,7.123155488017663e-05,8,128,20,7,2
1779484225080,q8W7E,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/q8W7E,10,,local-env,,,,,,,,,,,
1779484225978,ucemq,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/ucemq,11,,local-env,TCN,32,4,0.1,tanh,1.2316675872772695e-05,12,16,15,5,8
1779484237095,ucemq,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/ucemq,11,,local-env,,,,,,,,,,,
1779484238009,PqK0o,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/PqK0o,12,,local-env,CNN,256,4,0.3,elu,0.0003981073876134659,16,128,10,7,8
1779484248485,PqK0o,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/PqK0o,12,,local-env,,,,,,,,,,,
1779484249046,cVbal,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/cVbal,13,,local-env,Transformer,64,1,0.5,tanh,0.0006320454953656103,3,32,5,7,8
1779484259443,cVbal,SUCCEEDED,,,,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/cVbal,13,,local-env,,,,,,,,,,,
1779484260087,Z9NUv,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/g289xw50/environments/local-env/trials/Z9NUv,14,,local-env,MLP,16,2,0.5,tanh,1.6284479630310012e-05,7,32,20,3,8
