timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779478600514,p65X8,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/p65X8,0,,local-env,TCN,64,2,0.1,sigmoid,0.00038028744922372933,3,128,10,2,2
1779478614226,p65X8,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/p65X8,0,,local-env,,,,,,,,,,,
1779478615056,UwRfa,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/UwRfa,1,,local-env,Transformer,256,3,0.2,sigmoid,9.977949219803901e-05,3,128,10,3,8
1779478632371,UwRfa,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/UwRfa,1,,local-env,,,,,,,,,,,
1779478633099,KAb8S,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/KAb8S,2,,local-env,RNN,128,1,0.2,relu,1.6174380248217903e-05,26,64,5,5,4
1779478639002,KAb8S,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/KAb8S,2,,local-env,,,,,,,,,,,
1779478639627,kCTaH,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/kCTaH,3,,local-env,MLP,16,1,0.2,elu,8.751250720671991e-05,8,64,5,2,2
1779478645224,kCTaH,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/kCTaH,3,,local-env,,,,,,,,,,,
1779478646151,D33tb,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/D33tb,4,,local-env,LSTM,32,3,0.3,tanh,0.003696367395010432,15,64,15,2,2
1779478662139,D33tb,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/D33tb,4,,local-env,,,,,,,,,,,
1779478662683,eyTNc,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/eyTNc,5,,local-env,TCN,16,4,0.2,relu,3.0442173635568574e-05,11,32,10,5,2
1779478669283,eyTNc,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/eyTNc,5,,local-env,,,,,,,,,,,
1779478670211,a8erD,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/a8erD,6,,local-env,RNN,64,1,0.3,relu,0.008678133309759781,8,16,20,2,4
1779478683687,a8erD,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/a8erD,6,,local-env,,,,,,,,,,,
1779478684249,qRoKr,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/qRoKr,7,,local-env,LSTM,32,3,0.2,tanh,2.548938481079434e-05,29,16,5,5,8
1779478707571,qRoKr,SUCCEEDED,,,,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/qRoKr,7,,local-env,,,,,,,,,,,
1779478708296,FXa2r,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/k5pg8ub6/environments/local-env/trials/FXa2r,8,,local-env,CNN,32,1,0,tanh,0.002287566756773477,24,128,5,7,8
