timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779479998814,cD6HK,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/cD6HK,0,,local-env,GRU,128,2,0.1,tanh,0.00035102826571084333,6,64,15,2,8
1779480019889,cD6HK,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/cD6HK,0,,local-env,,,,,,,,,,,
1779480020877,ab5cL,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/ab5cL,1,,local-env,MLP,128,2,0.1,relu,0.0027607766369231327,17,32,10,5,4
1779480031617,ab5cL,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/ab5cL,1,,local-env,,,,,,,,,,,
1779480032430,E8XSU,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/E8XSU,2,,local-env,GRU,128,3,0.1,elu,0.00016919857870413067,25,128,5,3,2
1779480045999,E8XSU,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/E8XSU,2,,local-env,,,,,,,,,,,
1779480046981,dI3Lo,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/dI3Lo,3,,local-env,TCN,64,1,0.2,tanh,5.117588262228509e-05,20,32,20,2,2
1779480054946,dI3Lo,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/dI3Lo,3,,local-env,,,,,,,,,,,
1779480055515,FwyIK,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/FwyIK,4,,local-env,LSTM,256,2,0.2,relu,0.000355618812723916,25,16,5,3,4
1779480076115,FwyIK,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/FwyIK,4,,local-env,,,,,,,,,,,
1779480077090,qJv2e,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/qJv2e,5,,local-env,GRU,128,3,0.2,sigmoid,0.0001701906249522871,27,128,5,7,2
1779480094385,qJv2e,SUCCEEDED,,,,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/qJv2e,5,,local-env,,,,,,,,,,,
1779480095142,ulWVE,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/ke1xrlon/environments/local-env/trials/ulWVE,6,,local-env,CNN,32,2,0.1,tanh,0.001621732152784445,2,64,10,5,8
