timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779474704387,nogWR,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/nogWR,0,,local-env,CNN,256,2,0.3,tanh,5.944433029223496e-05,10,32,10,3,8
1779474714257,nogWR,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/nogWR,0,,local-env,,,,,,,,,,,
1779474714933,OlKAB,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/OlKAB,1,,local-env,MLP,64,2,0,sigmoid,0.0003958445475865873,28,64,10,5,4
1779474724772,OlKAB,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/OlKAB,1,,local-env,,,,,,,,,,,
1779474725487,INvRc,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/INvRc,2,,local-env,MLP,256,4,0.3,tanh,1.6905344735740773e-05,29,32,5,5,4
1779474732030,INvRc,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/INvRc,2,,local-env,,,,,,,,,,,
1779474733024,s0qqq,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/s0qqq,3,,local-env,MLP,16,2,0.2,sigmoid,7.914347346963986e-05,28,16,10,5,2
1779474739657,s0qqq,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/s0qqq,3,,local-env,,,,,,,,,,,
1779474740554,tZBPX,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/tZBPX,4,,local-env,MLP,64,2,0.5,sigmoid,0.0003957934552945175,28,128,15,7,2
1779474747522,tZBPX,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/tZBPX,4,,local-env,,,,,,,,,,,
1779474748096,MSl5b,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/MSl5b,5,,local-env,LSTM,128,2,0.1,sigmoid,1.265732599515271e-05,29,32,20,7,2
1779474763434,MSl5b,SUCCEEDED,,,,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/MSl5b,5,,local-env,,,,,,,,,,,
1779474764146,oYuzt,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/mklw3ysa/environments/local-env/trials/oYuzt,6,,local-env,Transformer,256,2,0.3,tanh,0.0002797575752758537,23,32,5,7,8
