timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779482977193,yqD2e,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/yqD2e,0,,local-env,GRU,32,1,0.3,tanh,0.003681285993668356,10,128,10,7,8
1779482990644,yqD2e,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/yqD2e,0,,local-env,,,,,,,,,,,
1779482991242,god4R,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/god4R,1,,local-env,Transformer,16,2,0.1,elu,0.00016581685981885736,8,128,10,7,4
1779482999910,god4R,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/god4R,1,,local-env,,,,,,,,,,,
1779483000776,A8tUN,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/A8tUN,2,,local-env,RNN,256,2,0.1,sigmoid,8.000866257000342e-05,16,64,5,2,8
1779483008469,A8tUN,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/A8tUN,2,,local-env,,,,,,,,,,,
1779483009320,tPP3Z,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/tPP3Z,3,,local-env,LSTM,128,1,0.2,elu,0.00017991900155129567,5,16,15,7,8
1779483021775,tPP3Z,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/tPP3Z,3,,local-env,,,,,,,,,,,
1779483022353,gk9DX,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/gk9DX,4,,local-env,LSTM,64,3,0.1,elu,1.1863154483437266e-05,10,64,5,2,8
1779483034473,gk9DX,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/gk9DX,4,,local-env,,,,,,,,,,,
1779483035388,mCkuR,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/mCkuR,5,,local-env,CNN,32,1,0.5,relu,1.743923203611566e-05,8,32,10,2,4
1779483041647,mCkuR,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/mCkuR,5,,local-env,,,,,,,,,,,
1779483042424,V3KRQ,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/V3KRQ,6,,local-env,MLP,64,3,0.1,sigmoid,1.581231345953459e-05,21,64,5,3,8
1779483048365,V3KRQ,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/V3KRQ,6,,local-env,,,,,,,,,,,
1779483048950,uv1zn,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/uv1zn,7,,local-env,GRU,64,1,0.3,tanh,0.0038705072936425344,18,16,15,7,2
1779483061380,uv1zn,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/uv1zn,7,,local-env,,,,,,,,,,,
1779483061992,GO48n,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/GO48n,8,,local-env,MLP,256,2,0.1,tanh,0.002462125212495764,8,16,10,3,8
1779483068815,GO48n,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/GO48n,8,,local-env,,,,,,,,,,,
1779483069539,cthXI,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/cthXI,9,,local-env,LSTM,128,3,0.3,relu,3.956784939939216e-05,12,32,5,7,4
1779483097255,cthXI,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/cthXI,9,,local-env,,,,,,,,,,,
1779483098113,vdWlp,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/vdWlp,10,,local-env,TCN,64,4,0.5,relu,1.2924278263742196e-05,17,16,10,3,2
1779483107204,vdWlp,SUCCEEDED,,,,/home/meliani/nni-experiments/opx9cjsz/environments/local-env/trials/vdWlp,10,,local-env,,,,,,,,,,,
