timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779482655696,WvTcR,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/WvTcR,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779482665547,WvTcR,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/WvTcR,0,,local-env,,,,,,,,,,,
1779482666280,jvff6,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/jvff6,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779482678264,jvff6,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/jvff6,1,,local-env,,,,,,,,,,,
1779482678851,RLSj1,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/RLSj1,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779482691600,RLSj1,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/RLSj1,2,,local-env,,,,,,,,,,,
1779482692414,NuXEy,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/NuXEy,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779482707021,NuXEy,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/NuXEy,3,,local-env,,,,,,,,,,,
1779482707955,rX6vT,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/rX6vT,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779482718074,rX6vT,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/rX6vT,4,,local-env,,,,,,,,,,,
1779482718982,k0waN,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/k0waN,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779482727401,k0waN,SUCCEEDED,,,,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/k0waN,5,,local-env,,,,,,,,,,,
1779482728021,QTFwr,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/tdrpvys9/environments/local-env/trials/QTFwr,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
