timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779476589292,RWYVa,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/RWYVa,0,,local-env,GRU,64,3,0.1,sigmoid,0.0004952125872078755,21,16,5,5,4
1779476601099,RWYVa,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/RWYVa,0,,local-env,,,,,,,,,,,
1779476601841,tM5LP,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/tM5LP,1,,local-env,LSTM,16,3,0,tanh,0.0007602982164260915,6,32,20,2,8
1779476615513,tM5LP,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/tM5LP,1,,local-env,,,,,,,,,,,
1779476616385,voj9Q,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/voj9Q,2,,local-env,LSTM,128,3,0,elu,0.0010740555209979084,22,32,5,5,4
1779476629001,voj9Q,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/voj9Q,2,,local-env,,,,,,,,,,,
1779476629920,f8Bo9,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/f8Bo9,3,,local-env,RNN,128,1,0,tanh,9.222500900036642e-05,13,128,5,3,8
1779476636218,f8Bo9,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/f8Bo9,3,,local-env,,,,,,,,,,,
1779476636952,z3Csg,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/z3Csg,4,,local-env,GRU,32,2,0.3,relu,0.0006372177571740547,7,32,5,7,4
1779476646827,z3Csg,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/z3Csg,4,,local-env,,,,,,,,,,,
1779476647501,msB2A,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/msB2A,5,,local-env,GRU,16,4,0.1,relu,1.943351526273948e-05,11,64,15,7,4
1779476672157,msB2A,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/msB2A,5,,local-env,,,,,,,,,,,
1779476673068,K6Vkv,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/K6Vkv,6,,local-env,RNN,128,1,0.5,elu,1.555287336536214e-05,21,64,10,2,4
1779476683473,K6Vkv,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/K6Vkv,6,,local-env,,,,,,,,,,,
1779476684099,HWkQV,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/HWkQV,7,,local-env,TCN,64,2,0.2,tanh,1.318902672719645e-05,20,32,20,2,2
1779476693241,HWkQV,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/HWkQV,7,,local-env,,,,,,,,,,,
1779476694158,IYqhB,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/IYqhB,8,,local-env,GRU,16,3,0.5,relu,0.0026388015687478557,14,128,15,5,8
1779476707036,IYqhB,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/IYqhB,8,,local-env,,,,,,,,,,,
1779476707698,dxlR3,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/dxlR3,9,,local-env,CNN,256,2,0.5,elu,0.00015485211162964701,29,64,20,7,8
1779476718202,dxlR3,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/dxlR3,9,,local-env,,,,,,,,,,,
1779476718738,nrvHV,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/nrvHV,10,,local-env,MLP,32,4,0,tanh,4.1628845144847594e-05,2,32,15,7,2
1779476726726,nrvHV,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/nrvHV,10,,local-env,,,,,,,,,,,
1779476727264,PpmAg,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/PpmAg,11,,local-env,RNN,128,2,0.2,tanh,0.0011260758360589226,12,128,20,2,2
1779476736937,PpmAg,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/PpmAg,11,,local-env,,,,,,,,,,,
1779476737796,xkvN3,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/xkvN3,12,,local-env,GRU,16,4,0.1,sigmoid,3.82653030137989e-05,17,64,10,3,2
1779476758194,xkvN3,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/xkvN3,12,,local-env,,,,,,,,,,,
1779476758882,p3Kdn,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/p3Kdn,13,,local-env,TCN,256,2,0.5,elu,0.0019446967809180645,28,32,20,5,2
1779476787049,p3Kdn,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/p3Kdn,13,,local-env,,,,,,,,,,,
1779476788005,yykoF,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/yykoF,14,,local-env,GRU,64,2,0,relu,4.2579495501491414e-05,10,32,10,5,4
1779476801878,yykoF,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/yykoF,14,,local-env,,,,,,,,,,,
1779476802573,gfDwj,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/gfDwj,15,,local-env,Transformer,32,1,0.3,relu,0.0003904528759124231,18,16,15,5,8
1779476814003,gfDwj,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/gfDwj,15,,local-env,,,,,,,,,,,
1779476814611,vYUMp,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/vYUMp,16,,local-env,RNN,256,2,0.2,tanh,0.0030728298094230026,15,64,20,5,4
1779476825692,vYUMp,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/vYUMp,16,,local-env,,,,,,,,,,,
1779476826662,czekp,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/czekp,17,,local-env,RNN,128,3,0.3,tanh,0.0002821416387333333,25,128,15,5,2
1779476836531,czekp,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/czekp,17,,local-env,,,,,,,,,,,
1779476837201,DSseE,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/DSseE,18,,local-env,MLP,16,3,0,relu,0.00036923214003764537,26,16,10,7,4
1779476847695,DSseE,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/DSseE,18,,local-env,,,,,,,,,,,
1779476848248,KXoap,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/KXoap,19,,local-env,MLP,256,2,0,relu,0.0013316722782984723,4,64,10,3,8
1779476858931,KXoap,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/KXoap,19,,local-env,,,,,,,,,,,
1779476859796,q4gHY,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/q4gHY,20,,local-env,CNN,64,3,0.2,sigmoid,0.00040399903259896557,7,128,5,7,4
1779476869183,q4gHY,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/q4gHY,20,,local-env,,,,,,,,,,,
1779476869837,O3xH0,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/O3xH0,21,,local-env,CNN,32,4,0.2,relu,4.21067683647986e-05,24,32,15,5,2
1779476878746,O3xH0,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/O3xH0,21,,local-env,,,,,,,,,,,
1779476879374,vIL84,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/vIL84,22,,local-env,RNN,256,3,0.2,relu,0.00019395376377435777,16,16,20,3,4
1779476893388,vIL84,SUCCEEDED,,,,/home/meliani/nni-experiments/wh3jupv9/environments/local-env/trials/vIL84,22,,local-env,,,,,,,,,,,
